scope,key,commission_bps,exchange_fee_bps,regulatory_buy_bps,regulatory_sell_bps,tax_buy_bps,tax_sell_bps,half_spread_bps_conservative,half_spread_bps_base,half_spread_bps_optimistic,borrow_fee_annual_bps,fx_conversion_bps,tax_official,source,source_date,valid_from,valid_to,notes
default,DEFAULT,3.0,0.5,0.0,0.0,0.0,0.0,6.0,3.0,1.5,50,1.0,false,Estimativa institucional generica para large caps globais,2026-07-28,,,Todos os campos exceto impostos sao estimativas metodologicas; ver docs/REFERENCES.md
exchange,Nasdaq,1.0,0.3,0.0,0.3,0.0,0.0,2.0,1.0,0.5,25,0.0,false,SEC Section 31 fee (sec.gov Fee Rate Advisories); comissao e spread sao estimativas,2026-07-28,,,SEC fee ~USD 27.80 por USD 1M vendido (FY2024) = 0.278 bps no lado de venda; ESTIMATIVA sujeita a revisao anual
exchange,NYSE,1.0,0.3,0.0,0.3,0.0,0.0,2.0,1.0,0.5,25,0.0,false,SEC Section 31 fee (sec.gov Fee Rate Advisories); comissao e spread sao estimativas,2026-07-28,,,SEC fee no lado de venda; ESTIMATIVA sujeita a revisao anual
exchange,LSE,2.0,0.5,0.1,0.0,50.0,0.0,4.0,2.0,1.0,30,1.0,true,https://www.gov.uk/tax-buy-shares (SDRT 0.5% na compra eletronica); PTM levy aproximada,2026-07-28,,,SDRT 0.5% pago pelo comprador (OFICIAL - HMRC/gov.uk acessado 2026-07-28); PTM levy GBP1/negocio>GBP10k aproximada como 0.1 bp (estimativa)
exchange,Xetra,2.0,0.5,0.0,0.0,0.0,0.0,4.0,2.0,1.0,30,1.0,true,Sem imposto de transacao na Alemanha para este caso; tarifas Xetra sao estimativas,2026-07-28,,,Comissao/spread estimados
exchange,Euronext Paris,2.0,0.5,0.0,0.0,40.0,0.0,4.0,2.0,1.0,30,1.0,false,FTT francesa (art. 235 ter ZD CGI): 0.3% desde 2017; Loi de finances 2025 elevou a 0.4% a partir de 2025-04-01 - VERIFICAR fonte oficial,2026-07-28,2025-04-01,,Aplicavel a compras de acoes francesas com market cap > EUR 1 bi (MC.PA e TTE.PA qualificam); usamos 40 bps (conservador) com flag de verificacao
exchange,TSE,3.0,0.3,0.0,0.0,0.0,0.0,4.0,2.0,1.0,40,1.0,true,Japao nao tem imposto de transacao em acoes desde 1999; tarifas TSE sao estimativas,2026-07-28,,,Comissao/spread estimados
exchange,HKEX,3.0,0.565,0.27,0.27,10.0,10.0,6.0,3.0,1.5,75,1.0,true,https://www.gov.hk/en/residents/taxes/stamp/stamp_duty_rates.htm (0.1% por lado desde 2023-11-17); trading fee 0.00565% e SFC levy 0.0027% (hkex.com.hk),2026-07-28,2023-11-17,,Stamp duty 0.1% comprador e vendedor (OFICIAL - gov.hk acessado 2026-07-28); trading fee/levy conforme tabela HKEX (estimativa de segunda fonte)
exchange,NSE,5.0,0.35,1.5,0.0,10.0,10.0,8.0,4.0,2.0,200,2.0,false,STT 0.1% por lado em delivery (Finance Act India; verificado em fonte secundaria 2026-07-28); stamp duty 0.015% compra (Indian Stamp Act 2020); tarifas NSE estimadas,2026-07-28,,,STT bem estabelecida mas marcada para verificacao na fonte oficial (incometaxindia.gov.in); short de estrangeiros via SLB e restrito
exchange,B3,5.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,150,2.0,false,Tabela de tarifas B3 (b3.com.br - emolumentos + liquidacao para acoes a vista); valor agregado aproximado,2026-07-28,,,Emolumento+liquidacao ~0.03% por lado para investidor institucional (ESTIMATIVA a partir da tabela publica da B3; varia por volume e tipo de investidor)
exchange,ASX,3.0,0.5,0.0,0.0,0.0,0.0,5.0,2.5,1.2,30,1.0,true,Australia nao tem stamp duty em acoes listadas desde 2001; tarifas ASX estimadas,2026-07-28,,,Comissao/spread estimados
exchange,TSX,2.0,0.4,0.0,0.0,0.0,0.0,4.0,2.0,1.0,30,1.0,true,Canada nao tem imposto de transacao federal; tarifas TSX estimadas,2026-07-28,,,Comissao/spread estimados
